Loss,Accuracy,a,k,b
1.29463,0.361323,0.247608,3.31841,-0.139977
1.29461,0.361323,0.247585,3.31841,-0.139977
1.29459,0.361323,0.247563,3.3184,-0.139976
1.29457,0.361323,0.24754,3.3184,-0.139976
1.29454,0.361323,0.247518,3.3184,-0.139976
1.29452,0.361323,0.247495,3.3184,-0.139976
1.2945,0.361323,0.247473,3.3184,-0.139976
1.29448,0.361323,0.247451,3.3184,-0.139976
1.29446,0.361323,0.247428,3.3184,-0.139976
1.29444,0.361323,0.247406,3.31839,-0.139976
1.29442,0.361323,0.247384,3.31839,-0.139976
1.2944,0.361323,0.247362,3.31839,-0.139976
1.29437,0.361323,0.247339,3.31839,-0.139976
1.29435,0.361323,0.247317,3.31839,-0.139975
1.29433,0.361323,0.247295,3.31839,-0.139975
1.29431,0.361323,0.247273,3.31839,-0.139975
1.29429,0.361323,0.247251,3.31838,-0.139975
1.29427,0.361323,0.247229,3.31838,-0.139975
1.29425,0.361323,0.247207,3.31838,-0.139975
1.29423,0.361323,0.247186,3.31838,-0.139975
1.29421,0.361323,0.247164,3.31838,-0.139975
1.29419,0.361323,0.247142,3.31838,-0.139975
1.29417,0.361323,0.24712,3.31838,-0.139975
1.29415,0.361323,0.247098,3.31837,-0.139975
1.29413,0.361323,0.247077,3.31837,-0.139974
1.29411,0.361323,0.247055,3.31837,-0.139974
1.29409,0.358779,0.247034,3.31837,-0.139974
1.29407,0.358779,0.247012,3.31837,-0.139974
1.29405,0.358779,0.246991,3.31837,-0.139974
1.29403,0.358779,0.246969,3.31837,-0.139974
1.29401,0.358779,0.246948,3.31836,-0.139974
1.29399,0.358779,0.246926,3.31836,-0.139974
1.29397,0.358779,0.246905,3.31836,-0.139974
1.29395,0.358779,0.246884,3.31836,-0.139974
1.29393,0.358779,0.246862,3.31836,-0.139974
1.29391,0.358779,0.246841,3.31836,-0.139973
1.29389,0.358779,0.24682,3.31836,-0.139973
1.29387,0.358779,0.246799,3.31835,-0.139973
1.29385,0.358779,0.246778,3.31835,-0.139973
1.29383,0.358779,0.246756,3.31835,-0.139973
1.29382,0.358779,0.246735,3.31835,-0.139973
1.2938,0.358779,0.246714,3.31835,-0.139973
1.29378,0.358779,0.246693,3.31835,-0.139973
1.29376,0.361323,0.246672,3.31835,-0.139973
1.29374,0.361323,0.246651,3.31834,-0.139973
1.29372,0.361323,0.246631,3.31834,-0.139973
1.2937,0.361323,0.24661,3.31834,-0.139972
1.29369,0.361323,0.246589,3.31834,-0.139972
1.29367,0.361323,0.246568,3.31834,-0.139972
1.29365,0.361323,0.246547,3.31834,-0.139972
1.29363,0.361323,0.246527,3.31834,-0.139972
1.29361,0.361323,0.246506,3.31833,-0.139972
1.29359,0.361323,0.246485,3.31833,-0.139972
1.29358,0.361323,0.246465,3.31833,-0.139972
1.29356,0.361323,0.246444,3.31833,-0.139972
1.29354,0.361323,0.246424,3.31833,-0.139972
1.29352,0.361323,0.246403,3.31833,-0.139972
1.2935,0.363868,0.246383,3.31833,-0.139972
